RES ID,SSN,pH,%N,%C,C % Inorg  ,C % Org,Am Ox_Al mg/kg,Am Ox-Fe mg/kg,AmOx-Mn/mg/kg,AmOx-Pmg/kg, Olsen P mg/kg,pbi no units,Caex cmolc/ kg soil,Kex cmolc/ kg soil,Mgex cmolc/ kg soil,Naex cmolc/ kg soil,ECEC cmolc/ kg soil,ICP OES Al mg/kg ,ICP OES Ca mg/kg ,ICP OES Co mg/kg ,ICP OES Cr mg/kg ,ICP OES Cu mg/kg ,ICP OES Fe mg/kg ,ICP OES K mg/kg ,ICP OES Mg mg/kg ,ICP OES Mn mg/kg ,ICP OES Na mg/kg ,ICP OES Ni mg/kg ,ICP OES P mg/kg ,ICP OES Pb mg/kg ,ICP OES S mg/kg ,ICP OES Zn mg/kg ,ICPMS As 75 mg/kg,ICP MS Se 78 mg/kg,ICP MS Mo 95 mg/kg,ICP MS Cd 114 mg/kg
S5556/65,icr006454,7.85,0.08,0.95,0.0,0.94,2105.9737134770003,868.3477973255,160.462824696,27.4565448475,2.7,79.3,15.21,1.5406750367782398,3.5679855687757005,0.040272002120685,21.926116142881398,29014.85544,3257.1523850000012,6.58616712,52.22530598,11.15067476,16670.19198,8517.919223,4448.932189,278.46565539999995,47.8877279,24.42976086,96.57513082,2.598904478,76.23716314,26.77264255,0.275148418678311,0.279135887464182,0.059725853949606,0.028904255435974
S5556/66,icr006455,8.03,0.06,0.81,0.1,0.7,2703.686191477,1095.6702840255,185.252606496,48.3099296375,1.38,108.91,14.99,2.1804895990482103,3.45600878046054,0.02362292016246,19.1375268810453,35497.94748,6257.135488,7.731195311,58.87812741,12.98346214,20161.11761,10859.30378,5382.424835,319.3923962,53.88358985,29.36430032,117.4231386,3.2029636160000003,71.83018618,30.59578335,0.353719885647628,0.31185261798917496,0.08784920055435,0.034731095043564
S5556/67,icr006474,5.01,0.05,0.57,0.0,0.57,1554.842158477,949.2351988255,52.608644076000004,22.8873389075,2.5,48.31,1.16,0.6563738380048921,0.6896435986460949,0.012822335036264,3.8785428321737694,25915.49391,267.669484,3.745461235,71.12524918,11.18726731,12024.05452,1343.124117,592.0484727999999,81.72606040000002,41.82301553,12.74177105,87.04007317,1.955844485,53.86355667,16.70462343,0.371204823867046,0.31838566784350003,0.122074964180912,0.005390653973113
S5556/68,icr006475,4.57,0.05,0.47,0.0,0.47,1846.889773477,1070.0191990255,33.656657706,9.3816717475,1.36,83.09,1.0,0.496624854187181,0.5315915339680449,0.031200360667247008,2.96516599864246,32557.34347,213.387209,3.814862669,79.35302531,13.03337329,14467.42622,1487.768795,691.4423947,64.41284972,35.13905933,14.91861582,83.55548226,1.817534772,47.46560779,20.0731948,0.414071994192466,0.351492876999516,0.13888383519476502,0.003355862882333
S5556/69,icr006492,6.78,0.09,0.98,0.0,0.98,1871.5593054770002,1204.9120350255,172.634574096,32.1098821575,2.14,38.35,5.41,0.7362135318023199,1.66387279033505,0.013414701407021005,8.01619674359409,30120.52145,1263.401923,8.23957425,81.20799608,18.10957267,20798.726,2999.24076,2376.152831,262.0177594,102.9927186,24.40383259,150.93646299999997,3.32646447,100.773286,26.10203865,0.415931266543995,0.4886701542604671,0.085806653898472,0.031715932373749
S5556/70,icr006493,6.09,0.06,0.56,0.0,0.56,2560.093479477,2252.2545105255,152.809077646,30.8564599275,1.23,49.76,3.48,0.472283648047784,1.5184833048793798,0.019802321842182,5.23864175971492,41049.48603,923.4599967,9.206622555,83.76072137,21.69014046,25213.54276,3349.502357,2750.741108,250.1746085,92.9127981,29.3656706,138.13051399999998,2.975792915,66.08067081,32.03223956,0.406074250897644,0.508119965071555,0.038857501717532016,0.024763311397689
S5556/71,icr006510,6.81,0.09,0.98,0.0,0.98,1320.844888477,718.2484842255002,187.442313096,36.5697307375,2.52,32.33,4.14,0.7828867674672979,1.95294433446177,0.003472640375689,7.180006794501951,27946.13109,1043.289516,7.952616244,111.3843002,11.03163686,13043.07539,1859.993992,1230.911236,242.34738,57.09343267,36.58893292,134.88720790000002,2.0663704430000003,96.24024182,20.2665237,0.310835071883241,0.387928695193609,0.06996078697327901,0.027241842686092
S5556/72,icr006530,6.59,0.07,0.71,0.0,0.71,1495.5984034770001,1002.4522940255,178.58306809599998,28.0314534575,2.12,57.7,4.19,1.31941703681405,1.92103113306288,0.024305424427038,9.103383924995759,41600.31625,807.85494785,10.162357775,79.97531782,20.4033794,23282.6423,2759.099866,1196.7590265,293.54069310000006,45.20789581,34.346547525,165.31729850000005,4.781452974,78.60095641,23.691929725,0.7139013671089259,0.4572254026515301,0.304741874099034,0.015837498657858
S5556/73,icr006531,5.98,0.05,0.4,0.0,0.4,2065.3182654770003,1193.6360340255,149.726528296,16.6853199675,0.96,62.85,3.08,0.903329549634298,1.76105193372118,0.025664484044096,4.8620188681486605,44758.2884,654.3180424999998,10.16660054,84.17842808,21.39875239,25114.78881,2790.665706,1244.543601,263.8862764,51.63497687,35.83958358,137.3200044,4.704824006,51.37484031,23.97033557,0.7180037763117391,0.4443804929707561,0.323108357618882,0.013038758844763
S5556/74,icr006551,6.62,0.02,0.27,0.0,0.27,1192.930464477,581.7036419255,72.590561236,5.607876374500001,0.96,26.57,3.53,0.5424175007728379,1.12075776560763,0.012881526959674998,7.401101026641767,16871.2115,681.8240183999999,3.564709735,66.093099,7.188838052,9859.5946,2114.147015,1103.948359,121.8571057,34.56312985,15.82255206,63.71831729,1.885299812,24.67074212,13.88152081,0.335905912225266,0.2300890359482889,0.11838311583627804,0.011139606569757
S5556/75,icr006570,6.5,0.06,0.62,0.0,0.62,1170.3773724769999,757.5373696255,135.06921519600002,28.1833073175,2.08,58.7,5.14,1.1094451792141,1.9966285821474297,0.08972410967507999,8.31008635499745,24593.66345,828.1173073,5.947934908,71.34760691,9.624795776000001,14715.76302,2434.413016,1184.687778,215.61614480000003,62.48527525,22.66358872,115.2061061,3.407329342,72.25487245,16.87644943,0.526020363294155,0.29580234830132696,0.191794792134176,0.020168219303818
S5556/76,icr006571,6.3,0.05,0.48,0.0,0.48,1324.435796477,815.2335812255002,121.814701196,20.1218922475,1.14,50.93,5.45,0.873748598544353,2.06543193125255,0.06350762568900499,8.95603899372137,28723.36905,872.7563782999997,6.07655824,74.62037791,10.15959026,16612.124480000002,2639.671114,1321.301426,208.2912626,56.62620111,24.74044007,111.4415085,3.386542218,58.01415906,18.94616509,0.5653381010189791,0.30785116224896697,0.235451998019276,0.016195395698751003
S5556/77,icr006586,7.06,0.11,1.09,0.0,1.09,2552.182083477,2287.3465640255,467.572767596,84.0709361775,6.94,83.27,9.14,2.25515409903926,4.95290875495138,0.069157468247752,17.1027310894281,55026.39041,2452.836902,17.80954714,123.2415541,26.36134474,37372.2508,9379.867053,6286.142896,698.8539867000003,138.570743,56.01312732,230.5939613,5.384431823,125.5160139,55.60641161,0.558422841945508,0.560641189907409,0.046705568225563,0.054947636445313
S5556/79,icr006626,5.89,0.04,0.43,0.0,0.43,1236.9213694769999,1063.4751580255,115.135958996,41.4802830575,2.06,32.31,1.21,0.614972379117933,0.746999368899129,0.018092521328692,3.06970414220261,23627.06109,397.4739701,6.896188579,62.2009199,9.013397723999999,15834.72306,2003.258263,1348.270189,172.66402250000004,85.25691307,18.71272496,131.62831129999998,2.9393596260000003,51.52199873,18.90861025,0.50383640838677,0.413680278153214,0.104857028068594,0.013650260989818
S5556/80,icr006627,5.56,0.04,0.38,0.0,0.38,1078.254559477,1034.7104600255,100.067652826,45.1840023875,1.45,41.89,2.25,0.69456777738333,1.20482111520647,0.055718277299101,3.5079503325980004,31673.93973,508.1626957,7.27139678,76.23573365,10.33779343,19817.81373,2283.9153100000008,1568.793042,169.361227,72.82815436,23.4536465,142.7728868,3.159226305,45.17643317,21.31621846,0.5662391168519,0.464030861915247,0.065992186383881,0.011951897771256
S5556/81,icr006684,6.59,0.07,0.7,0.0,0.7,1154.643497477,1238.4494090255,260.408532396,31.3092715875,1.84,43.58,2.81,0.770896889646524,1.85846861012521,0.019969895545402003,8.067466534871889,31202.56878,944.5066358,12.57863449,66.00703175,17.26653002,24094.01443000001,2126.131284,1495.455388,368.36904,104.1900293,24.7574152,158.10198480000003,3.158400025,71.67024384,20.39536891,0.368883527406029,0.503793441906472,0.086236165655771,0.029569113009624
S5556/83,icr006704,6.58,0.07,0.67,0.0,0.67,1456.6329774770002,1698.8211340255,291.809912996,54.0546954675,2.72,43.15,2.87,0.9098679617903248,1.56600166916656,0.08398961106759499,6.10002008654336,30332.33133,1152.21787,11.0976716,67.63313334,13.40828037,25799.14574,3269.795999,2298.872349,444.93113660000006,168.7628061,27.43158394,168.2868012,4.522059007,75.99660226,31.68477942,0.502240023562441,0.6363549716676751,0.06890840798027299,0.040753415323907013
S5556/84,icr006705,6.39,0.06,0.5,0.0,0.5,1546.861712477,1889.5409490255,259.548870396,56.7143386675,2.0,59.35,4.08,0.8092498494938829,1.9139608232500904,0.03858609977081502,5.5313311573052895,42557.5795,1143.62923,11.59763636,77.24774274,16.02389759,33296.99345,3889.920533,2545.550727,417.2233576,113.0119767,33.68108278,171.33682199999996,4.60398192,56.72458323,37.62366237,0.560045784234942,0.67979148666821,0.052669476394488005,0.032207046639263
S5556/85,icr006725,4.84,0.05,0.45,0.0,0.45,2267.8591844770003,1215.4769640255001,83.05911265600001,22.0815081575,1.4,77.22,1.53,0.611474494043646,0.942178235798944,0.036976072164201006,6.418436645172241,50682.28998,367.1230612,7.822720117,106.6051672,19.74741326,19134.92962,1727.427579,734.1689917,145.5699334,47.48788573,40.73230313,131.552151,2.628129792,74.73388578,22.85902758,0.5149514210738471,0.5084400089168211,0.147238929946504,0.004192356640746
S5556/87,icr006745,4.98,0.03,0.28,0.0,0.28,1302.162651477,553.6599458255,33.049969106,10.6994029675,1.04,34.37,0.38,0.25898008175462,0.28200409632146994,0.017321593678561,2.81486309689462,20520.86263,149.8000043,3.806526607,53.11455384,4.257350357,9325.204434,1305.26152,813.941494,60.90704654,63.73039173,15.32659546,63.20804009,2.651712255,32.15130153,12.68387545,0.21311624770200305,0.303343456620939,0.080901792264276,0.001916349829778
