Name,pH00
Apple,5.0-6.5
Ash,6.0-7.5
Azalea,4.5-6.0
Basswood,6.0-7.5
Beautybush,6.0-7.5
Birch,5.0-6.5
Blackberry,5.0-6.0
Blueberry,4.0-6.0
Boxwood,6.0-7.5
Cherrysour,6.0-7.0
Chestnut,5.0-6.5
Crabapple,6.0-7.5
Dogwood,5.0-7.0
Elderbox,6.0-8.0
Firbalsam,5.0-6.0
FirDouglas,6.0-7.0
Hemlock,5.0-6.0
Hydrangeablue-flowered,4.0-5.0
Hydrangeapink-flowered,6.0-7.0
Juniper,5.0-6.0
Laurelmountain,4.5-6.0
Lemon,6.0-7.5
Lilac,6.0-7.5
Maplesugar,6.0-7.5
Oakwhite,5.0-6.5
Orange,6.0-7.5
Peach,6.0-7.0
Pear,6.0-7.5
Pecan,6.4-8.0
Pinered,5.0-6.0
Pinewhite,4.5-6.0
Plum,6.0-8.0
Raspberryred,5.5-7.0
Rhododendron,4.5-6.0
Spruce,5.0-6.0
Walnutblack,6.0-8.0
Willow,6.0-8.0
Asparagus,6.0-8.0
Beanpole,6.0-7.5
Beet,6.0-7.5
Broccoli,6.0-7.0
Brusselssprout,6.0-7.5
Cabbage,6.0-7.0
Carrot,5.5-7.0
Cauliflower,5.5-7.5
Celery,5.8-7.0
Chive,6.0-7.0
Cucumber,5.5-7.0
Garlic,5.5-8.0
Kale,6.0-7.5
Lettuce,6.0-7.0
Peasweet,6.0-7.5
Peppersweet,5.5-7.0
Potato,4.8-6.5
Pumpkin,5.5-7.5
Radish,6.0-7.0
Spinach,6.0-7.5
Squashcrookneck,6.0-7.5
SquashHubbard,5.5-7.0
Tomato,5.5-7.5
Alyssum,6.0-7.5
AsterNewEngland,6.0-8.0
Babysbreath,6.0-7.0
Bachelorsbutton,6.0-7.5
Beebalm,6.0-7.5
Begonia,5.5-7.0
Black-eyedSusan,5.5-7.0
Bleedingheart,6.0-7.5
Canna,6.0-8.0
Carnation,6.0-7.0
Chrysanthemum,6.0-7.5
Clematis,5.5-7.0
Coleus,6.0-7.0
Coneflowerpurple,5.0-7.5
Cosmos,5.0-8.0
Crocus,6.0-8.0
Daffodil,6.0-6.5
Dahlia,6.0-7.5
DaisyShasta,6.0-8.0
Daylily,6.0-8.0
Delphinium,6.0-7.5
Foxglove,6.0-7.5
Geranium,6.0-8.0
Gladiolus,5.0-7.0
Hibiscus,6.0-8.0
Hollyhock,6.0-8.0
Hyacinth,6.5-7.5
Irisblueflag,5.0-7.5
Lily-of-the-valley,4.5-6.0
Lupine,5.0-6.5
Marigold,5.5-7.5
Morningglory,6.0-7.5
Narcissustrumpet,5.5-6.5
Nasturtium,5.5-7.5
Pansy,5.5-6.5
Peony,6.0-7.5
Petunia,5.5-6.0
Phloxsummer,6.0-8.0
Poppyoriental,6.0-7.5
Rosehybridtea,5.5-7.0
Roserugosa,6.0-7.0
Snapdragon,5.5-7.0
Sunflower,6.0-7.5
Tulip,6.0-7.0
Zinnia,5.5-7.0
